מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",חולון,פרספלסט,פרופ' שור 59,2006,2006,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר קרקע,תעשיה,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,רוטרי הנדסה - סקר ישן ,הסדנא 16,2005,2006,יש זיהום ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר קרקע,מוסך,לא,לא,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",הרצלייה,בית עמנואל מפעלי לידר המנופים 13,המנופים 13,2006,2012,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום,לא צריך טיפול,,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",אזור,אלון מתכת,דרך השבעה 11,2004,2014,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,כבד,שיקום ,תעשיה,לא,כן,לא,לא,לא,לא,טרם נבדק
"ת""א",אזור,פס הירוק מאא 249 א' ,בסמוך לכניסה לאזור מכביש 44,2013,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",בת ים,הר הפסולת,,2001,2014,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,אתרי אשפה,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,בן עטר 21 וסלמה 52,בן עטר 21 וסלמה 52 ,2010,2012,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,תדירגן,המלאכה 21,2003,2008,יש זיהום ,יש זיהום,כבד,,תעשיה,,,,,,,מיגון לאחר בדיקה
"ת""א",תל-אביב,"חזנוביץ 10-12, שיבת ציון 3","חזנוביץ 10-12, שיבת ציון 4",2014,2014,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,פוריה 5,פוריה 5,2010,2015,נבדק ואין זיהום,היה זיהום בעבר ששוקם,בינוני,סקר קרקע,תעשיה,כן,כן,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
